Order_ID,Customer_ID,Order_Date,Order_Time,Day_of_Week,Item_Name,Category,Size,Quantity,Order_Channel,Total_Amount
60,6912,2024-10-12,20:01,Saturday,Garlic Bread,Side,Standard,4,Online,35.96
61,889,2024-04-28,20:22,Sunday,Farmhouse Classic Pizza,Pizza,Small,3,Walk-in,56.13
62,7369,2024-11-17,20:16,Sunday,Wings (8 pcs),Wings,Standard,1,Phone,22.98
63,7583,2024-02-15,21:43,Thursday,Wings (8 pcs),Wings,Standard,1,Online,22.98
64,7774,2025-11-17,20:21,Monday,Margherita Pizza,Pizza,Medium,4,Walk-in,79.96
65,7374,2025-09-30,18:19,Tuesday,Cheesy Garlic Bread,Side,Standard,1,Online,11.99
66,5712,2025-11-13,18:08,Thursday,Wings (8 pcs),Wings,Standard,3,Phone,68.94
67,6129,2024-07-15,22:39,Monday,Wings (8 pcs),Wings,Standard,4,Online,91.92
68,2351,2025-08-05,18:50,Tuesday,Prawns Paradise Pizza,Pizza,Medium,1,Phone,20.79
69,3623,2025-08-16,20:32,Saturday,Cheesy Garlic Bread,Side,Standard,4,Phone,47.96
70,4223,2025-04-29,20:39,Tuesday,Spicy Chicken Pizza,Pizza,Large,1,Phone,24.95
71,6608,2024-12-09,18:01,Monday,Cheesy Pepperoni Pizza,Pizza,Small,3,Walk-in,56.13
72,3396,2024-02-17,21:36,Saturday,Vegetarian Classic Pizza,Pizza,Medium,1,Phone,19.99
73,1999,2024-07-18,14:44,Thursday,Caesar Salad,Salad,Standard,4,Phone,39.96
74,6588,2024-01-06,22:33,Saturday,Chicken Parmesan Pizza,Pizza,Medium,2,Walk-in,41.58
75,3740,2025-04-20,14:29,Sunday,Italiano Pizza,Pizza,Large,2,Walk-in,49.9
76,6677,2025-11-14,20:32,Friday,Cheesy Garlic Bread,Side,Standard,4,Online,47.96
77,7058,2025-03-12,19:16,Wednesday,Pasta Carbonara,Pasta,Standard,2,Online,39.98
78,1960,2024-09-10,18:04,Tuesday,Farmhouse Classic Pizza,Pizza,Large,4,Online,99.79
79,2620,2025-12-31,21:05,Wednesday,Prawns Paradise Pizza,Pizza,Small,3,Phone,56.13
80,1252,2024-05-21,20:04,Tuesday,BBQ Chicken Pizza,Pizza,Small,4,Online,74.84
81,3817,2025-02-28,19:13,Friday,Wings (8 pcs),Wings,Standard,3,Online,68.94
82,3117,2025-03-06,19:22,Thursday,Caesar Salad,Salad,Standard,1,Online,9.99
83,6124,2024-11-01,20:51,Friday,Caesar Salad,Salad,Standard,4,Online,39.96
84,3571,2025-09-09,19:24,Tuesday,Vegetarian Classic Pizza,Pizza,Medium,2,Phone,39.98
85,7533,2024-12-10,14:39,Tuesday,Caesar Salad,Salad,Standard,2,Phone,19.98
86,5266,2025-06-30,19:55,Monday,Meat Feast Pizza,Pizza,Medium,1,Walk-in,20.79
87,2682,2025-04-17,18:20,Thursday,Spicy Chicken Pizza,Pizza,Small,3,Phone,56.13
88,2067,2024-12-11,21:30,Wednesday,Caesar Salad,Salad,Standard,3,Phone,29.97
89,563,2024-01-20,21:41,Saturday,Italiano Pizza,Pizza,Medium,2,Online,41.58
90,5090,2024-02-11,14:08,Sunday,Meat Feast Pizza,Pizza,Small,2,Walk-in,37.42
91,5731,2025-04-29,18:23,Tuesday,Chicken Parmesan Pizza,Pizza,Large,2,Phone,49.9
92,4741,2024-06-20,12:19,Thursday,Chicken Parmesan Pizza,Pizza,Small,3,Walk-in,56.13
93,1625,2025-08-12,13:44,Tuesday,Caesar Salad,Salad,Standard,4,Online,39.96
94,4919,2025-10-04,21:50,Saturday,Vegetarian Classic Pizza,Pizza,Small,3,Online,53.97
95,3036,2025-08-02,13:41,Saturday,Italiano Pizza,Pizza,Medium,4,Online,83.16
96,3552,2024-12-15,22:40,Sunday,Meat Feast Pizza,Pizza,Medium,4,Walk-in,83.16
97,4275,2025-04-15,22:17,Tuesday,BBQ Chicken Pizza,Pizza,Medium,2,Online,41.58
98,6765,2025-09-22,20:17,Monday,Soft Drink 1.25L,Drink,Standard,4,Phone,31.96
99,1998,2024-11-26,21:36,Tuesday,Vegetarian Classic Pizza,Pizza,Small,3,Phone,53.97
100,4050,2025-09-16,21:11,Tuesday,Caesar Salad,Salad,Standard,3,Walk-in,29.97
101,2291,2025-05-14,21:44,Wednesday,Margherita Pizza,Pizza,Medium,3,Phone,59.97
102,1978,2024-10-09,20:31,Wednesday,Meat Feast Pizza,Pizza,Large,2,Walk-in,49.9
103,5832,2025-07-22,19:50,Tuesday,Vegetarian Classic Pizza,Pizza,Large,4,Online,95.95
104,5668,2024-01-18,18:42,Thursday,Cheesy Pepperoni Pizza,Pizza,Medium,2,Phone,41.58
105,4350,2025-08-18,19:47,Monday,Garlic Bread,Side,Standard,4,Online,35.96
106,3718,2025-07-17,18:16,Thursday,Cheesy Garlic Bread,Side,Standard,3,Online,35.97
107,980,2024-08-24,21:48,Saturday,Chicken Parmesan Pizza,Pizza,Large,2,Phone,49.9
108,3967,2025-12-07,18:37,Sunday,Spicy Chicken Pizza,Pizza,Small,2,Online,37.42
109,1864,2025-06-21,19:19,Saturday,Prawns Paradise Pizza,Pizza,Small,2,Phone,37.42
110,4534,2024-01-15,18:08,Monday,BBQ Chicken Pizza,Pizza,Medium,1,Walk-in,20.79
111,4703,2025-10-15,18:30,Wednesday,Soft Drink 1.25L,Drink,Standard,1,Walk-in,7.99
112,2069,2025-03-27,22:30,Thursday,Cheesy Garlic Bread,Side,Standard,2,Walk-in,23.98
113,4727,2024-04-26,20:03,Friday,Cheesy Pepperoni Pizza,Pizza,Medium,4,Walk-in,83.16
114,2034,2024-06-04,14:48,Tuesday,BBQ Chicken Pizza,Pizza,Large,3,Walk-in,74.84
115,7443,2025-03-02,19:55,Sunday,Vegetarian Classic Pizza,Pizza,Large,4,Phone,95.95
116,5088,2025-08-25,13:47,Monday,Wings (8 pcs),Wings,Standard,3,Online,68.94
117,5411,2024-04-11,13:15,Thursday,Margherita Pizza,Pizza,Large,2,Phone,47.98
118,3691,2024-06-26,20:30,Wednesday,Cheesy Pepperoni Pizza,Pizza,Small,1,Phone,18.71
119,2317,2024-10-25,20:29,Friday,Italiano Pizza,Pizza,Small,3,Online,56.13
120,941,2024-03-13,20:41,Wednesday,Vegetarian Classic Pizza,Pizza,Medium,2,Phone,39.98
121,1360,2024-06-01,21:38,Saturday,Farmhouse Classic Pizza,Pizza,Small,1,Walk-in,18.71
122,5642,2025-08-05,18:25,Tuesday,Prawns Paradise Pizza,Pizza,Medium,1,Phone,20.79
123,4900,2024-10-05,12:27,Saturday,Soft Drink 1.25L,Drink,Standard,4,Walk-in,31.96
124,7880,2024-11-26,20:55,Tuesday,Farmhouse Classic Pizza,Pizza,Small,1,Walk-in,18.71
125,330,2025-08-12,21:11,Tuesday,Meat Feast Pizza,Pizza,Large,3,Online,74.84
126,4796,2025-04-26,19:52,Saturday,Pasta Carbonara,Pasta,Standard,3,Walk-in,59.97
127,2731,2025-05-18,19:06,Sunday,Cheesy Pepperoni Pizza,Pizza,Medium,3,Phone,62.37
128,4059,2024-06-13,18:25,Thursday,Cheesy Garlic Bread,Side,Standard,4,Online,47.96
129,2068,2025-07-17,19:49,Thursday,Italiano Pizza,Pizza,Medium,1,Phone,20.79
130,445,2025-02-17,18:23,Monday,Meat Feast Pizza,Pizza,Large,4,Phone,99.79
131,1668,2025-09-29,18:08,Monday,Soft Drink 1.25L,Drink,Standard,4,Walk-in,31.96
132,237,2024-10-21,22:38,Monday,Pasta Carbonara,Pasta,Standard,4,Walk-in,79.96
133,3343,2024-09-02,13:53,Monday,Spicy Chicken Pizza,Pizza,Medium,1,Online,20.79
134,6817,2024-04-26,14:59,Friday,Pasta Carbonara,Pasta,Standard,1,Online,19.99
135,1997,2024-10-25,19:09,Friday,Farmhouse Classic Pizza,Pizza,Medium,4,Phone,83.16
136,2264,2025-01-27,21:54,Monday,Margherita Pizza,Pizza,Large,2,Walk-in,47.98
137,2318,2025-02-28,20:53,Friday,Cheesy Garlic Bread,Side,Standard,3,Walk-in,35.97
138,4413,2025-08-24,19:21,Sunday,Soft Drink 1.25L,Drink,Standard,2,Phone,15.98
139,7124,2025-07-19,18:44,Saturday,Caesar Salad,Salad,Standard,4,Phone,39.96
140,358,2024-09-01,19:30,Sunday,Caesar Salad,Salad,Standard,2,Phone,19.98
141,6492,2025-12-23,21:09,Tuesday,Caesar Salad,Salad,Standard,4,Online,39.96
142,7162,2025-05-22,21:06,Thursday,Italiano Pizza,Pizza,Small,3,Walk-in,56.13
143,1181,2025-06-22,19:41,Sunday,Pasta Carbonara,Pasta,Standard,1,Online,19.99
144,5106,2024-06-07,20:41,Friday,Cheesy Pepperoni Pizza,Pizza,Medium,3,Phone,62.37
145,5135,2024-03-23,20:48,Saturday,Cheesy Garlic Bread,Side,Standard,4,Phone,47.96
146,5171,2025-05-14,20:18,Wednesday,Italiano Pizza,Pizza,Large,1,Walk-in,24.95
147,5767,2024-08-20,21:28,Tuesday,Cheesy Pepperoni Pizza,Pizza,Medium,1,Online,20.79
148,6523,2024-06-19,13:22,Wednesday,Prawns Paradise Pizza,Pizza,Small,1,Phone,18.71
149,4352,2025-01-18,19:43,Saturday,Wings (8 pcs),Wings,Standard,2,Walk-in,45.96
150,7134,2024-07-03,19:43,Wednesday,Spicy Chicken Pizza,Pizza,Small,1,Online,18.71
151,3778,2024-09-03,20:29,Tuesday,Soft Drink 1.25L,Drink,Standard,2,Walk-in,15.98
152,4478,2024-09-18,18:28,Wednesday,Meat Feast Pizza,Pizza,Medium,3,Online,62.37
153,2049,2024-12-19,19:19,Thursday,Prawns Paradise Pizza,Pizza,Large,4,Online,99.79
154,1944,2024-07-22,19:22,Monday,Caesar Salad,Salad,Standard,4,Walk-in,39.96
155,6800,2025-08-11,20:17,Monday,Prawns Paradise Pizza,Pizza,Large,3,Walk-in,74.84
156,6355,2024-01-09,21:38,Tuesday,Italiano Pizza,Pizza,Large,4,Phone,99.79
157,2054,2024-12-26,20:46,Thursday,Vegetarian Classic Pizza,Pizza,Large,2,Online,47.98
158,5295,2025-11-06,12:50,Thursday,BBQ Chicken Pizza,Pizza,Large,1,Online,24.95
159,1077,2025-03-27,13:18,Thursday,Italiano Pizza,Pizza,Large,3,Online,74.84
160,1083,2024-11-30,21:56,Saturday,Wings (8 pcs),Wings,Standard,2,Walk-in,45.96
161,7925,2025-01-09,21:47,Thursday,Farmhouse Classic Pizza,Pizza,Small,3,Phone,56.13
162,6179,2024-12-12,22:55,Thursday,Chicken Parmesan Pizza,Pizza,Medium,1,Walk-in,20.79
163,6478,2025-11-23,19:16,Sunday,Caesar Salad,Salad,Standard,3,Walk-in,29.97
164,6136,2025-07-03,20:37,Thursday,Chicken Parmesan Pizza,Pizza,Medium,3,Online,62.37
165,1916,2025-01-25,19:39,Saturday,Garlic Bread,Side,Standard,1,Online,8.99
166,518,2025-07-28,20:29,Monday,Cheesy Garlic Bread,Side,Standard,2,Online,23.98
167,1146,2025-12-18,12:02,Thursday,Prawns Paradise Pizza,Pizza,Large,4,Walk-in,99.79
168,1924,2024-11-07,21:08,Thursday,Soft Drink 1.25L,Drink,Standard,1,Walk-in,7.99
169,7778,2025-02-01,21:34,Saturday,Pasta Carbonara,Pasta,Standard,3,Online,59.97
170,5044,2025-03-05,19:17,Wednesday,BBQ Chicken Pizza,Pizza,Medium,1,Phone,20.79
171,3643,2024-02-03,22:54,Saturday,Garlic Bread,Side,Standard,2,Phone,17.98
172,7387,2025-01-06,22:22,Monday,Chicken Parmesan Pizza,Pizza,Large,3,Online,74.84
173,7932,2024-03-03,14:54,Sunday,Caesar Salad,Salad,Standard,3,Walk-in,29.97
174,5239,2025-04-10,20:01,Thursday,Cheesy Pepperoni Pizza,Pizza,Large,2,Online,49.9
175,6447,2024-02-21,20:04,Wednesday,Cheesy Garlic Bread,Side,Standard,2,Walk-in,23.98
176,2692,2025-07-21,21:50,Monday,Margherita Pizza,Pizza,Large,2,Walk-in,47.98
177,4426,2025-09-02,18:11,Tuesday,Meat Feast Pizza,Pizza,Medium,2,Walk-in,41.58
178,6472,2024-04-22,21:37,Monday,Meat Feast Pizza,Pizza,Small,1,Phone,18.71
179,1039,2024-11-27,21:33,Wednesday,Meat Feast Pizza,Pizza,Small,3,Walk-in,56.13
180,4205,2024-04-26,20:28,Friday,Cheesy Pepperoni Pizza,Pizza,Medium,4,Phone,83.16
181,6417,2025-05-30,22:42,Friday,Vegetarian Classic Pizza,Pizza,Large,1,Online,23.99
182,3924,2025-06-17,21:27,Tuesday,Prawns Paradise Pizza,Pizza,Medium,1,Walk-in,20.79
183,7367,2025-12-03,13:38,Wednesday,Chicken Parmesan Pizza,Pizza,Medium,4,Walk-in,83.16
184,5187,2024-05-31,20:45,Friday,Cheesy Pepperoni Pizza,Pizza,Small,3,Online,56.13
185,4142,2024-11-28,20:06,Thursday,Caesar Salad,Salad,Standard,3,Phone,29.97
186,3700,2025-12-19,21:26,Friday,Chicken Parmesan Pizza,Pizza,Large,2,Phone,49.9
187,5977,2024-12-13,13:27,Friday,Pasta Carbonara,Pasta,Standard,4,Phone,79.96
188,7562,2024-11-16,19:05,Saturday,Farmhouse Classic Pizza,Pizza,Medium,2,Online,41.58
189,6053,2024-03-28,19:08,Thursday,Cheesy Pepperoni Pizza,Pizza,Medium,1,Online,20.79
190,1002,2025-07-23,19:55,Wednesday,Italiano Pizza,Pizza,Large,3,Online,74.84
191,4919,2025-11-12,18:06,Wednesday,Wings (8 pcs),Wings,Standard,1,Phone,22.98
192,6941,2025-08-14,14:54,Thursday,Margherita Pizza,Pizza,Small,4,Walk-in,71.96
193,4704,2025-07-23,18:27,Wednesday,Garlic Bread,Side,Standard,1,Phone,8.99
194,1478,2025-07-28,18:48,Monday,Meat Feast Pizza,Pizza,Large,3,Walk-in,74.84
195,1487,2024-11-12,21:36,Tuesday,Cheesy Garlic Bread,Side,Standard,3,Walk-in,35.97
196,6071,2025-11-04,20:01,Tuesday,Caesar Salad,Salad,Standard,1,Walk-in,9.99
197,2793,2024-04-03,14:19,Wednesday,Margherita Pizza,Pizza,Medium,4,Phone,79.96
198,6181,2024-11-28,20:43,Thursday,Cheesy Pepperoni Pizza,Pizza,Small,2,Walk-in,37.42
199,4974,2024-03-24,19:17,Sunday,Farmhouse Classic Pizza,Pizza,Medium,4,Phone,83.16
200,2321,2024-08-08,20:37,Thursday,Chicken Parmesan Pizza,Pizza,Medium,4,Walk-in,83.16
201,4910,2025-05-13,13:13,Tuesday,Prawns Paradise Pizza,Pizza,Small,2,Phone,37.42
202,2688,2024-11-04,14:31,Monday,Margherita Pizza,Pizza,Small,3,Phone,53.97
203,5765,2025-03-16,18:35,Sunday,Spicy Chicken Pizza,Pizza,Small,4,Online,74.84
204,7060,2025-11-15,21:27,Saturday,Garlic Bread,Side,Standard,1,Phone,8.99
205,4717,2024-01-20,19:25,Saturday,Pasta Carbonara,Pasta,Standard,1,Phone,19.99
206,3319,2025-12-27,12:20,Saturday,Wings (8 pcs),Wings,Standard,3,Walk-in,68.94
207,3578,2024-06-24,21:15,Monday,Pasta Carbonara,Pasta,Standard,3,Walk-in,59.97
208,7132,2025-03-22,18:21,Saturday,Caesar Salad,Salad,Standard,1,Phone,9.99
209,4182,2024-08-14,20:33,Wednesday,Cheesy Garlic Bread,Side,Standard,2,Walk-in,23.98
210,7850,2025-06-06,21:52,Friday,Margherita Pizza,Pizza,Medium,3,Online,59.97
211,1617,2024-05-31,18:09,Friday,Vegetarian Classic Pizza,Pizza,Small,2,Phone,35.98
212,6181,2025-11-02,20:37,Sunday,Cheesy Pepperoni Pizza,Pizza,Small,4,Phone,74.84
213,3603,2025-04-04,13:28,Friday,Cheesy Garlic Bread,Side,Standard,3,Walk-in,35.97
214,4157,2025-10-08,13:29,Wednesday,Prawns Paradise Pizza,Pizza,Medium,1,Phone,20.79
215,629,2025-04-07,20:54,Monday,Italiano Pizza,Pizza,Small,3,Phone,56.13
216,4541,2024-04-02,22:47,Tuesday,Caesar Salad,Salad,Standard,4,Online,39.96
217,4957,2024-02-12,19:09,Monday,Pasta Carbonara,Pasta,Standard,2,Phone,39.98
218,5852,2024-03-04,13:41,Monday,Pasta Carbonara,Pasta,Standard,1,Phone,19.99
219,4294,2024-06-25,19:10,Tuesday,Italiano Pizza,Pizza,Small,4,Phone,74.84
220,3349,2025-01-07,21:43,Tuesday,Garlic Bread,Side,Standard,3,Phone,26.97
221,2701,2025-09-04,13:43,Thursday,Italiano Pizza,Pizza,Large,3,Walk-in,74.84
222,668,2025-01-30,20:09,Thursday,Prawns Paradise Pizza,Pizza,Medium,2,Phone,41.58
223,4875,2024-12-24,20:05,Tuesday,Prawns Paradise Pizza,Pizza,Large,4,Walk-in,99.79
224,5490,2024-11-13,20:47,Wednesday,Caesar Salad,Salad,Standard,3,Walk-in,29.97
225,2965,2025-12-02,12:19,Tuesday,Cheesy Pepperoni Pizza,Pizza,Large,4,Online,99.79
226,1856,2024-07-03,22:09,Wednesday,Margherita Pizza,Pizza,Medium,4,Walk-in,79.96
227,2759,2024-03-20,21:39,Wednesday,Prawns Paradise Pizza,Pizza,Small,1,Online,18.71
228,1482,2024-05-14,21:49,Tuesday,Caesar Salad,Salad,Standard,2,Walk-in,19.98
229,3366,2025-10-01,19:46,Wednesday,Spicy Chicken Pizza,Pizza,Large,4,Walk-in,99.79
230,6421,2024-08-31,19:34,Saturday,Pasta Carbonara,Pasta,Standard,3,Online,59.97
231,5557,2024-09-01,22:28,Sunday,Prawns Paradise Pizza,Pizza,Medium,2,Phone,41.58
232,6692,2025-04-17,18:38,Thursday,Prawns Paradise Pizza,Pizza,Medium,4,Walk-in,83.16
233,4543,2024-05-21,22:45,Tuesday,Farmhouse Classic Pizza,Pizza,Small,4,Phone,74.84
234,2235,2025-06-12,19:32,Thursday,Chicken Parmesan Pizza,Pizza,Medium,1,Walk-in,20.79
235,6691,2024-05-30,19:22,Thursday,Wings (8 pcs),Wings,Standard,1,Walk-in,22.98
236,4113,2024-01-28,19:24,Sunday,Wings (8 pcs),Wings,Standard,1,Phone,22.98
237,2611,2024-03-24,22:53,Sunday,Garlic Bread,Side,Standard,2,Walk-in,17.98
238,314,2025-10-27,18:53,Monday,Cheesy Garlic Bread,Side,Standard,2,Walk-in,23.98
239,5041,2025-04-28,12:05,Monday,BBQ Chicken Pizza,Pizza,Large,4,Phone,99.79
240,7703,2024-01-20,20:33,Saturday,Farmhouse Classic Pizza,Pizza,Small,2,Online,37.42
241,999,2025-03-09,12:26,Sunday,Chicken Parmesan Pizza,Pizza,Medium,2,Phone,41.58
242,6855,2025-10-16,22:38,Thursday,Pasta Carbonara,Pasta,Standard,1,Walk-in,19.99
243,1177,2025-07-02,18:00,Wednesday,Meat Feast Pizza,Pizza,Large,2,Online,49.9
244,3413,2025-09-21,18:42,Sunday,Garlic Bread,Side,Standard,2,Online,17.98
245,4458,2024-03-28,19:32,Thursday,Garlic Bread,Side,Standard,1,Online,8.99
246,5208,2025-07-21,19:23,Monday,Meat Feast Pizza,Pizza,Medium,4,Walk-in,83.16
247,1976,2024-09-16,20:40,Monday,Meat Feast Pizza,Pizza,Medium,1,Phone,20.79
248,2887,2024-04-16,20:52,Tuesday,Cheesy Garlic Bread,Side,Standard,2,Walk-in,23.98
249,3921,2025-10-20,20:51,Monday,Spicy Chicken Pizza,Pizza,Large,4,Online,99.79
250,2404,2024-05-18,18:50,Saturday,Cheesy Pepperoni Pizza,Pizza,Large,4,Walk-in,99.79
251,3263,2024-07-23,22:34,Tuesday,Italiano Pizza,Pizza,Medium,3,Online,62.37
252,2925,2025-04-29,21:03,Tuesday,Farmhouse Classic Pizza,Pizza,Small,2,Phone,37.42
253,6549,2025-11-02,19:56,Sunday,Cheesy Garlic Bread,Side,Standard,3,Walk-in,35.97
254,7977,2025-02-13,18:44,Thursday,Pasta Carbonara,Pasta,Standard,4,Phone,79.96
255,5957,2025-05-24,19:27,Saturday,Garlic Bread,Side,Standard,3,Walk-in,26.97
256,841,2025-09-08,13:42,Monday,Spicy Chicken Pizza,Pizza,Large,3,Phone,74.84
257,5651,2024-10-29,19:28,Tuesday,Prawns Paradise Pizza,Pizza,Medium,4,Walk-in,83.16
258,5239,2024-02-13,22:03,Tuesday,Garlic Bread,Side,Standard,4,Phone,35.96
259,6563,2024-03-17,21:10,Sunday,Caesar Salad,Salad,Standard,3,Online,29.97
260,1035,2024-02-01,13:49,Thursday,BBQ Chicken Pizza,Pizza,Large,4,Walk-in,99.79
261,7779,2025-10-22,20:38,Wednesday,Garlic Bread,Side,Standard,3,Phone,26.97
262,3637,2024-06-06,21:36,Thursday,Pasta Carbonara,Pasta,Standard,3,Phone,59.97
263,5322,2024-05-20,18:07,Monday,Garlic Bread,Side,Standard,4,Phone,35.96
264,965,2024-01-27,18:16,Saturday,Spicy Chicken Pizza,Pizza,Medium,4,Online,83.16
265,2340,2025-12-21,20:31,Sunday,Pasta Carbonara,Pasta,Standard,2,Online,39.98
266,1415,2024-07-23,22:28,Tuesday,Chicken Parmesan Pizza,Pizza,Small,1,Phone,18.71
267,532,2024-03-30,20:18,Saturday,Cheesy Garlic Bread,Side,Standard,3,Online,35.97
268,4168,2024-11-03,18:12,Sunday,Spicy Chicken Pizza,Pizza,Large,2,Phone,49.9
269,4539,2024-05-22,20:29,Wednesday,Vegetarian Classic Pizza,Pizza,Medium,1,Phone,19.99
270,2534,2025-07-18,19:45,Friday,BBQ Chicken Pizza,Pizza,Large,1,Walk-in,24.95
