Customer_ID,Visit_Frequency,Avg_Order_Value,Last_Visit_Date,Preferred_Item,Preferred_Channel
70,12,38.40833333333333,2025-12-08,Cheesy Pepperoni Pizza,Online
71,6,48.455000000000005,2025-12-07,Chicken Parmesan Pizza,Phone
72,8,34.5675,2025-11-25,Soft Drink 1.25L,Online
73,4,37.47,2025-11-21,Pasta Carbonara,Phone
74,6,41.666666666666664,2025-06-10,Caesar Salad,Online
75,7,42.25714285714286,2025-11-12,BBQ Chicken Pizza,Online
76,8,58.03625,2025-07-14,BBQ Chicken Pizza,Online
77,4,28.7225,2025-10-21,Caesar Salad,Online
78,12,52.306666666666665,2025-10-28,Margherita Pizza,Walk-in
79,4,37.18,2025-09-03,BBQ Chicken Pizza,Online
80,4,54.7275,2025-08-04,Cheesy Pepperoni Pizza,Walk-in
81,6,39.93,2025-06-11,Spicy Chicken Pizza,Phone
82,2,65.485,2024-08-29,Farmhouse Classic Pizza,Phone
83,4,39.26,2025-12-09,Farmhouse Classic Pizza,Phone
84,11,35.06090909090909,2025-12-26,BBQ Chicken Pizza,Online
85,7,56.47428571428571,2025-11-22,Prawns Paradise Pizza,Phone
86,6,73.155,2025-08-30,Farmhouse Classic Pizza,Online
87,6,32.43666666666667,2025-12-07,Caesar Salad,Phone
88,9,37.43444444444444,2025-12-29,Cheesy Pepperoni Pizza,Phone
89,11,37.31454545454545,2025-10-20,Prawns Paradise Pizza,Online
90,7,51.348571428571425,2025-12-13,BBQ Chicken Pizza,Online
91,10,45.185,2025-10-18,Italiano Pizza,Walk-in
92,7,54.91857142857143,2025-12-02,Cheesy Garlic Bread,Walk-in
93,7,48.20428571428571,2025-10-01,Vegetarian Classic Pizza,Online
94,6,71.45166666666667,2025-10-13,Cheesy Pepperoni Pizza,Online
95,4,19.6375,2025-12-27,BBQ Chicken Pizza,Online
96,6,44.04666666666666,2025-03-27,Chicken Parmesan Pizza,Walk-in
97,5,51.298,2025-11-19,Chicken Parmesan Pizza,Online
98,8,37.676249999999996,2025-12-14,BBQ Chicken Pizza,Online
99,10,34.076,2025-02-28,Cheesy Garlic Bread,Online
100,6,47.63166666666666,2025-10-19,BBQ Chicken Pizza,Phone
101,3,64.56,2025-05-14,Chicken Parmesan Pizza,Walk-in
102,7,36.1,2025-01-14,Margherita Pizza,Phone
103,10,50.2,2025-12-25,Meat Feast Pizza,Online
104,11,49.553636363636365,2025-09-29,BBQ Chicken Pizza,Online
105,6,42.81333333333333,2025-09-25,Cheesy Garlic Bread,Phone
106,5,60.924,2025-12-03,Cheesy Pepperoni Pizza,Online
107,7,38.24,2025-10-10,Caesar Salad,Walk-in
108,7,30.517142857142854,2025-08-26,Soft Drink 1.25L,Online
109,8,46.335,2025-05-25,Meat Feast Pizza,Phone
110,8,52.027499999999996,2025-10-18,Prawns Paradise Pizza,Phone
111,4,48.33500000000001,2025-10-19,BBQ Chicken Pizza,Online
112,9,45.31555555555556,2025-08-01,Garlic Bread,Online
113,9,41.586666666666666,2025-10-05,Cheesy Pepperoni Pizza,Walk-in
114,4,52.652499999999996,2025-12-25,BBQ Chicken Pizza,Online
115,4,63.667500000000004,2025-07-23,Wings (8 pcs),Walk-in
116,12,46.6475,2025-12-19,BBQ Chicken Pizza,Online
117,6,47.23500000000001,2025-08-29,Cheesy Pepperoni Pizza,Phone
118,6,37.843333333333334,2025-10-16,Cheesy Pepperoni Pizza,Phone
119,4,70.36000000000001,2025-11-02,BBQ Chicken Pizza,Phone
120,5,61.116,2025-12-06,Margherita Pizza,Online
121,3,35.60666666666666,2025-05-07,Cheesy Garlic Bread,Phone
122,10,47.969,2025-07-18,Cheesy Pepperoni Pizza,Walk-in
123,8,32.4625,2025-04-28,BBQ Chicken Pizza,Walk-in
124,4,58.0275,2025-05-10,BBQ Chicken Pizza,Walk-in
125,5,47.812,2025-10-17,BBQ Chicken Pizza,Online
126,8,39.575,2025-06-29,Cheesy Garlic Bread,Phone
127,9,59.888888888888886,2025-07-26,Margherita Pizza,Online
128,10,55.489,2025-11-05,BBQ Chicken Pizza,Phone
129,8,42.11125,2025-09-06,Pasta Carbonara,Phone
130,8,50.12125,2025-12-22,Margherita Pizza,Online
131,3,66.63666666666667,2025-06-24,BBQ Chicken Pizza,Online
132,4,38.4275,2024-11-05,Caesar Salad,Online
133,4,32.464999999999996,2025-11-29,Chicken Parmesan Pizza,Walk-in
134,9,56.617777777777775,2025-10-11,BBQ Chicken Pizza,Online
135,9,48.04666666666667,2025-12-15,Farmhouse Classic Pizza,Online
136,6,37.48166666666667,2025-10-05,Caesar Salad,Phone
137,7,44.14857142857143,2025-12-03,Cheesy Pepperoni Pizza,Online
138,3,55.76,2025-04-15,Cheesy Pepperoni Pizza,Walk-in
139,6,51.43666666666667,2025-03-31,Caesar Salad,Online
140,6,45.1,2025-12-17,Prawns Paradise Pizza,Phone
141,7,47.51142857142857,2025-10-30,Vegetarian Classic Pizza,Online
142,2,24.475,2025-06-19,Caesar Salad,Online
143,5,42.34400000000001,2025-12-13,Soft Drink 1.25L,Online
144,2,61.41,2025-07-18,Italiano Pizza,Phone
145,4,36.0625,2025-11-13,BBQ Chicken Pizza,Phone
146,9,48.79888888888889,2025-04-11,Garlic Bread,Phone
147,5,71.036,2025-09-15,Chicken Parmesan Pizza,Walk-in
148,3,53.629999999999995,2025-11-17,Cheesy Garlic Bread,Online
149,5,55.372,2025-12-10,BBQ Chicken Pizza,Online
150,10,51.896,2025-12-02,BBQ Chicken Pizza,Phone
151,3,68.35000000000001,2025-01-18,Caesar Salad,Online
152,2,53.959999999999994,2025-08-15,Garlic Bread,Online
153,3,40.88666666666666,2025-06-09,Chicken Parmesan Pizza,Walk-in
154,9,55.19111111111111,2025-09-15,Cheesy Pepperoni Pizza,Phone
155,8,45.77875,2025-10-25,Cheesy Garlic Bread,Walk-in
156,9,57.74888888888889,2025-09-07,BBQ Chicken Pizza,Walk-in
157,5,50.566,2025-11-07,BBQ Chicken Pizza,Walk-in
158,6,32.86833333333333,2025-07-30,BBQ Chicken Pizza,Online
159,5,41.81,2025-08-28,Soft Drink 1.25L,Phone
160,11,51.75545454545454,2025-11-29,BBQ Chicken Pizza,Phone
161,9,46.04,2025-12-20,BBQ Chicken Pizza,Phone
162,6,44.815,2025-08-27,BBQ Chicken Pizza,Walk-in
163,5,43.17,2025-06-26,Pasta Carbonara,Phone
164,5,27.503999999999998,2025-12-23,Farmhouse Classic Pizza,Phone
165,9,37.25111111111111,2025-08-29,BBQ Chicken Pizza,Walk-in
166,3,20.98,2025-05-22,Garlic Bread,Walk-in
167,4,50.4525,2024-09-05,Chicken Parmesan Pizza,Phone
168,2,22.84,2025-08-08,BBQ Chicken Pizza,Online
169,7,44.58857142857143,2025-08-11,Meat Feast Pizza,Phone
170,5,48.55,2025-12-03,BBQ Chicken Pizza,Online
171,6,55.071666666666665,2025-11-27,Prawns Paradise Pizza,Online
172,9,57.46,2025-11-05,Farmhouse Classic Pizza,Online
173,5,25.163999999999998,2025-10-11,Soft Drink 1.25L,Phone
174,9,46.837777777777774,2025-10-27,Farmhouse Classic Pizza,Phone
175,8,44.51125,2025-10-03,Garlic Bread,Online
176,2,63.945,2025-08-02,Cheesy Garlic Bread,Phone
177,8,53.90125,2025-09-18,Margherita Pizza,Phone
178,9,34.867777777777775,2025-12-28,BBQ Chicken Pizza,Phone
179,6,60.48666666666666,2025-10-07,Cheesy Pepperoni Pizza,Phone
180,5,64.378,2025-04-07,Cheesy Garlic Bread,Phone
181,3,58.10333333333333,2025-11-08,Vegetarian Classic Pizza,Phone
182,10,39.475,2025-10-26,Spicy Chicken Pizza,Online
183,4,53.575,2025-03-21,Chicken Parmesan Pizza,Online
184,7,50.74142857142857,2025-12-21,Cheesy Pepperoni Pizza,Online
185,6,64.68666666666667,2025-11-22,Spicy Chicken Pizza,Phone
186,11,54.690000000000005,2025-12-07,Cheesy Pepperoni Pizza,Phone
187,8,36.80375,2025-09-04,Meat Feast Pizza,Phone
188,6,30.328333333333333,2024-11-05,Farmhouse Classic Pizza,Walk-in
189,4,69.32,2025-02-21,Wings (8 pcs),Online
190,8,47.355000000000004,2025-09-29,Cheesy Pepperoni Pizza,Phone
191,7,59.28285714285715,2025-03-30,Cheesy Pepperoni Pizza,Phone
192,10,39.32,2025-08-19,Cheesy Garlic Bread,Phone
193,7,49.21857142857142,2025-02-19,Wings (8 pcs),Online
194,4,64.785,2025-06-19,Cheesy Pepperoni Pizza,Phone
195,6,37.35333333333333,2025-11-24,Caesar Salad,Online
196,6,23.105,2025-03-27,BBQ Chicken Pizza,Phone
197,7,38.58571428571429,2025-12-12,Cheesy Garlic Bread,Phone
198,7,45.011428571428574,2025-12-13,BBQ Chicken Pizza,Online
199,8,50.41125,2025-12-18,Italiano Pizza,Phone
200,9,32.440000000000005,2025-11-11,Caesar Salad,Online
201,5,31.532,2025-11-29,Caesar Salad,Online
202,10,45.519,2025-12-07,Italiano Pizza,Phone
203,4,38.015,2025-11-18,BBQ Chicken Pizza,Phone
204,7,38.707142857142856,2025-12-12,Caesar Salad,Phone
205,4,50.7325,2025-12-14,Farmhouse Classic Pizza,Phone
206,2,66.53,2025-02-13,Cheesy Pepperoni Pizza,Phone
207,14,54.44357142857143,2025-12-24,Pasta Carbonara,Online
208,9,46.906666666666666,2025-10-24,Caesar Salad,Phone
209,9,51.45777777777778,2025-08-11,Garlic Bread,Online
210,5,33.92,2025-10-17,BBQ Chicken Pizza,Walk-in
211,6,28.926666666666666,2025-11-03,Soft Drink 1.25L,Walk-in
212,9,47.40555555555555,2025-08-09,Margherita Pizza,Phone
213,11,45.13,2025-12-16,Chicken Parmesan Pizza,Walk-in
214,6,47.14333333333334,2025-10-20,BBQ Chicken Pizza,Walk-in
215,9,49.04777777777778,2025-11-23,Italiano Pizza,Phone
216,6,42.36333333333334,2025-12-23,BBQ Chicken Pizza,Walk-in
217,6,33.626666666666665,2025-08-27,Margherita Pizza,Online
218,7,54.021428571428565,2025-12-28,Farmhouse Classic Pizza,Online
219,7,47.80571428571428,2025-06-19,Wings (8 pcs),Online
220,8,25.1875,2025-10-17,Italiano Pizza,Walk-in
221,9,48.86666666666667,2025-08-21,Cheesy Pepperoni Pizza,Online
222,3,45.79,2025-02-22,Cheesy Pepperoni Pizza,Phone
223,5,49.568,2024-11-30,BBQ Chicken Pizza,Online
224,12,50.090833333333336,2025-05-10,BBQ Chicken Pizza,Phone
225,9,32.32,2025-07-14,Caesar Salad,Online
226,4,34.7225,2025-12-03,BBQ Chicken Pizza,Online
227,5,59.714,2025-11-02,Chicken Parmesan Pizza,Walk-in
228,2,30.945,2024-11-07,Cheesy Garlic Bread,Online
229,8,45.43375,2025-11-08,Meat Feast Pizza,Phone
230,6,46.04666666666666,2025-09-01,Cheesy Garlic Bread,Online
231,8,51.3475,2025-09-06,Caesar Salad,Walk-in
232,6,57.88833333333333,2025-09-06,Chicken Parmesan Pizza,Walk-in
233,4,33.1425,2025-05-06,BBQ Chicken Pizza,Online
234,10,49.132,2025-12-24,BBQ Chicken Pizza,Walk-in
235,8,70.13250000000001,2025-11-16,Prawns Paradise Pizza,Online
236,11,41.54818181818182,2025-10-29,Soft Drink 1.25L,Online
237,7,35.28142857142857,2025-11-18,Caesar Salad,Phone
238,6,38.339999999999996,2025-07-28,Caesar Salad,Phone
239,13,54.87461538461538,2025-09-27,Pasta Carbonara,Online
240,6,54.28,2024-07-15,Margherita Pizza,Walk-in
241,7,33.81,2025-08-05,Cheesy Garlic Bread,Walk-in
242,7,36.660000000000004,2025-11-25,Caesar Salad,Online
243,5,26.830000000000002,2025-08-15,Caesar Salad,Online
244,8,56.14625,2025-12-22,BBQ Chicken Pizza,Online
245,8,65.31375,2025-11-23,Italiano Pizza,Walk-in
246,8,53.79875,2025-08-11,Pasta Carbonara,Online
247,7,44.800000000000004,2025-08-11,Chicken Parmesan Pizza,Online
248,5,35.245999999999995,2025-05-19,Pasta Carbonara,Phone
249,5,48.775999999999996,2025-08-01,Cheesy Pepperoni Pizza,Online
250,5,20.784,2025-11-10,Caesar Salad,Online
251,3,26.370000000000005,2025-09-28,BBQ Chicken Pizza,Online
252,3,49.276666666666664,2025-03-16,Farmhouse Classic Pizza,Walk-in
253,6,57.88833333333333,2025-12-17,Cheesy Garlic Bread,Walk-in
254,3,30.646666666666665,2025-04-19,Margherita Pizza,Online
255,9,49.05888888888889,2025-09-21,BBQ Chicken Pizza,Online
256,8,51.230000000000004,2025-10-21,Soft Drink 1.25L,Walk-in
257,4,53.230000000000004,2025-11-14,Cheesy Garlic Bread,Walk-in
258,7,55.65714285714286,2025-09-01,Margherita Pizza,Walk-in
259,7,39.527142857142856,2025-10-11,Caesar Salad,Online
260,4,38.457499999999996,2024-11-13,Caesar Salad,Online
261,8,45.07,2025-12-12,BBQ Chicken Pizza,Walk-in
262,3,36.73,2025-10-26,Italiano Pizza,Online
263,6,42.74333333333333,2025-06-14,BBQ Chicken Pizza,Walk-in
264,6,48.105,2025-07-13,Pasta Carbonara,Phone
265,6,46.339999999999996,2025-12-26,Cheesy Garlic Bread,Walk-in
266,8,59.51875,2025-11-25,Pasta Carbonara,Walk-in
267,5,50.95,2025-09-03,Cheesy Garlic Bread,Online
268,4,20.6075,2025-11-04,Cheesy Pepperoni Pizza,Online
269,9,56.245555555555555,2025-12-18,Margherita Pizza,Online
270,4,37.36,2025-12-10,Prawns Paradise Pizza,Online
271,8,48.11,2025-08-29,Cheesy Garlic Bread,Walk-in
272,6,46.93666666666667,2025-08-22,Meat Feast Pizza,Online
273,5,44.906,2025-11-23,Chicken Parmesan Pizza,Phone
274,5,33.204,2025-06-20,Cheesy Garlic Bread,Phone
275,10,61.647000000000006,2025-11-07,Pasta Carbonara,Phone
276,4,57.9975,2024-10-09,Farmhouse Classic Pizza,Online
277,3,29.97,2025-03-30,Caesar Salad,Phone
278,7,59.87571428571429,2025-07-29,BBQ Chicken Pizza,Online
279,5,54.708000000000006,2025-10-03,Chicken Parmesan Pizza,Walk-in
280,6,40.50833333333333,2025-08-17,Farmhouse Classic Pizza,Walk-in
281,6,46.348333333333336,2025-08-03,Cheesy Garlic Bread,Phone
282,5,34.44,2025-05-30,Caesar Salad,Phone
283,5,60.129999999999995,2025-10-11,BBQ Chicken Pizza,Online
284,11,42.952727272727266,2025-11-28,Vegetarian Classic Pizza,Online
285,6,37.660000000000004,2025-11-18,Wings (8 pcs),Phone
286,3,28.83666666666667,2025-06-06,Caesar Salad,Online
287,5,49.998000000000005,2025-09-01,Caesar Salad,Walk-in
288,6,34.31166666666667,2025-12-22,Caesar Salad,Online
289,8,69.79375,2025-11-05,Spicy Chicken Pizza,Online
290,3,21.316666666666666,2025-12-04,Caesar Salad,Walk-in
291,5,47.688,2025-10-08,Cheesy Pepperoni Pizza,Phone
292,2,38.964999999999996,2025-05-21,Garlic Bread,Online
293,7,48.75,2025-11-04,BBQ Chicken Pizza,Walk-in
294,3,30.956666666666667,2025-07-18,Garlic Bread,Online
295,7,50.85,2025-12-31,Cheesy Garlic Bread,Phone
296,7,52.36857142857143,2025-10-21,Spicy Chicken Pizza,Walk-in
297,4,36.1825,2025-12-18,Cheesy Pepperoni Pizza,Online
298,5,54.751999999999995,2025-11-11,Chicken Parmesan Pizza,Online
299,7,50.75428571428572,2025-10-17,BBQ Chicken Pizza,Phone
300,1,37.42,2025-01-01,Cheesy Pepperoni Pizza,Phone
301,4,34.81,2025-09-09,BBQ Chicken Pizza,Phone
302,5,43.156,2025-10-30,Caesar Salad,Phone
303,1,23.98,2024-07-31,Cheesy Garlic Bread,Walk-in
304,6,39.196666666666665,2025-12-30,Caesar Salad,Phone
305,8,48.252500000000005,2025-11-05,Farmhouse Classic Pizza,Online
306,4,49.7725,2025-06-25,BBQ Chicken Pizza,Online
307,4,43.1375,2024-05-24,BBQ Chicken Pizza,Phone
308,8,44.25,2025-10-16,Spicy Chicken Pizza,Phone
309,7,66.99285714285715,2025-08-03,Caesar Salad,Walk-in
310,2,25.785,2025-08-08,Caesar Salad,Phone
311,4,50.144999999999996,2025-05-03,Vegetarian Classic Pizza,Phone
312,10,49.463,2025-04-04,Meat Feast Pizza,Online
313,9,40.75,2025-12-31,Chicken Parmesan Pizza,Phone
314,5,48.769999999999996,2025-10-27,Cheesy Garlic Bread,Phone
315,4,30.9875,2025-09-24,Garlic Bread,Walk-in
316,7,26.779999999999998,2025-11-29,Italiano Pizza,Phone
317,3,69.97333333333334,2025-07-15,Garlic Bread,Walk-in
318,8,53.55625,2025-11-01,Spicy Chicken Pizza,Phone
319,2,54.055,2025-06-30,BBQ Chicken Pizza,Phone
320,5,35.898,2025-08-02,BBQ Chicken Pizza,Walk-in
321,6,36.568333333333335,2025-12-24,Caesar Salad,Phone
322,5,29.772000000000002,2025-12-07,Cheesy Pepperoni Pizza,Online
323,6,44.68833333333333,2025-11-01,Chicken Parmesan Pizza,Online
324,5,66.84599999999999,2025-11-28,Pasta Carbonara,Walk-in
325,9,39.13444444444444,2025-09-16,Cheesy Pepperoni Pizza,Phone
326,7,52.10142857142858,2025-11-02,Farmhouse Classic Pizza,Online
327,7,33.72571428571429,2025-08-24,Spicy Chicken Pizza,Walk-in
328,7,34.028571428571425,2025-12-31,Caesar Salad,Online
329,3,50.77333333333333,2024-11-01,Wings (8 pcs),Online
330,9,61.68111111111111,2025-12-16,Cheesy Garlic Bread,Online
331,7,40.75142857142857,2025-10-04,Pasta Carbonara,Phone
332,9,51.45666666666667,2025-11-15,BBQ Chicken Pizza,Online
333,7,69.40142857142857,2025-09-29,Caesar Salad,Online
334,3,23.24333333333333,2025-09-27,Farmhouse Classic Pizza,Online
335,6,44.26833333333334,2025-03-04,Vegetarian Classic Pizza,Walk-in
336,7,43.994285714285716,2025-11-11,Cheesy Garlic Bread,Phone
337,9,49.440000000000005,2025-12-08,Garlic Bread,Online
338,8,52.08375,2025-12-18,Italiano Pizza,Online
339,7,44.07857142857143,2025-11-27,Spicy Chicken Pizza,Online
340,5,21.974,2025-08-15,Cheesy Garlic Bread,Phone
341,3,42.96666666666666,2024-11-08,Cheesy Pepperoni Pizza,Phone
342,4,51.0175,2025-08-27,Farmhouse Classic Pizza,Online
343,6,33.82833333333333,2025-12-20,Cheesy Garlic Bread,Online
344,5,55.908,2024-11-14,BBQ Chicken Pizza,Online
345,13,50.04923076923077,2025-12-10,Cheesy Pepperoni Pizza,Walk-in
346,2,43.66,2025-11-03,Cheesy Pepperoni Pizza,Online
347,3,40.88666666666666,2025-11-09,Cheesy Pepperoni Pizza,Online
348,4,33.2125,2025-12-06,Caesar Salad,Online
349,6,33.96666666666667,2025-12-16,Wings (8 pcs),Walk-in
350,5,49.236000000000004,2025-09-17,Farmhouse Classic Pizza,Online
351,3,24.126666666666665,2024-11-12,Farmhouse Classic Pizza,Phone
352,11,70.66454545454546,2025-09-08,BBQ Chicken Pizza,Online
353,5,39.089999999999996,2025-12-07,Garlic Bread,Online
354,4,35.52,2025-10-02,Cheesy Garlic Bread,Online
355,5,43.05,2025-07-30,Prawns Paradise Pizza,Phone
356,8,61.82875,2025-11-23,Wings (8 pcs),Phone
357,4,65.39750000000001,2025-12-19,Cheesy Pepperoni Pizza,Online
358,8,34.7975,2025-12-20,BBQ Chicken Pizza,Phone
359,6,45.19,2025-08-24,Caesar Salad,Walk-in
360,7,52.06285714285714,2025-03-27,BBQ Chicken Pizza,Phone
361,4,53.5175,2025-07-23,BBQ Chicken Pizza,Online
362,3,38.64333333333334,2025-07-02,Cheesy Garlic Bread,Online
363,4,67.645,2025-06-20,Chicken Parmesan Pizza,Online
364,9,56.48111111111111,2025-11-17,Caesar Salad,Online
365,4,55.89,2025-06-07,Cheesy Garlic Bread,Online
366,5,18.784,2025-12-18,Garlic Bread,Online
367,8,42.66625,2025-06-03,Spicy Chicken Pizza,Online
368,10,39.641000000000005,2025-10-27,Pasta Carbonara,Phone
369,4,66.03999999999999,2025-02-11,Italiano Pizza,Online
370,5,46.146,2025-02-09,Caesar Salad,Phone
371,5,43.272000000000006,2025-06-24,Farmhouse Classic Pizza,Phone
372,3,42.34666666666667,2025-05-08,Cheesy Pepperoni Pizza,Walk-in
373,2,49.165,2025-10-12,Garlic Bread,Walk-in
374,3,63.64666666666667,2025-12-25,Farmhouse Classic Pizza,Phone
375,7,44.605714285714285,2025-07-18,Chicken Parmesan Pizza,Walk-in
376,7,48.23142857142857,2025-12-24,Caesar Salad,Phone
377,7,37.99428571428571,2025-06-30,Pasta Carbonara,Online
378,7,57.10000000000001,2025-09-04,Meat Feast Pizza,Phone
379,5,59.339999999999996,2025-10-12,BBQ Chicken Pizza,Online
380,8,59.425,2024-09-04,Cheesy Pepperoni Pizza,Online
381,4,31.395,2025-09-04,Garlic Bread,Online
382,8,39.8225,2025-11-23,BBQ Chicken Pizza,Phone
383,3,33.300000000000004,2025-07-09,Garlic Bread,Phone
384,12,37.79666666666667,2025-12-26,Vegetarian Classic Pizza,Online
385,6,53.11166666666667,2025-07-28,BBQ Chicken Pizza,Walk-in
386,7,47.42428571428571,2025-10-21,Pasta Carbonara,Phone
387,10,48.804,2025-09-22,Farmhouse Classic Pizza,Online
388,6,47.21333333333333,2025-06-26,Italiano Pizza,Online
389,6,47.65333333333333,2025-10-20,Prawns Paradise Pizza,Online
390,5,37.844,2025-11-23,BBQ Chicken Pizza,Phone
391,4,43.12,2025-07-25,Caesar Salad,Walk-in
392,3,40.03333333333333,2025-03-25,Margherita Pizza,Online
393,8,43.9525,2025-10-25,Italiano Pizza,Walk-in
394,10,51.948,2025-11-29,Italiano Pizza,Online
395,6,45.839999999999996,2025-12-03,Cheesy Garlic Bread,Walk-in
396,5,41.58,2025-11-28,Meat Feast Pizza,Walk-in
397,6,43.096666666666664,2025-04-28,Cheesy Garlic Bread,Online
398,7,61.17714285714286,2024-09-21,Pasta Carbonara,Phone
399,7,30.09142857142857,2025-04-29,Caesar Salad,Walk-in
400,4,45.707499999999996,2025-09-30,Caesar Salad,Phone
401,7,38.89,2025-10-07,Caesar Salad,Online
402,5,29.362000000000002,2025-11-27,Chicken Parmesan Pizza,Phone
403,7,52.40428571428572,2025-12-30,Meat Feast Pizza,Phone
404,7,36.81714285714286,2025-12-31,Italiano Pizza,Online
405,9,46.39,2025-11-05,Garlic Bread,Walk-in
406,8,40.57625,2025-09-23,Cheesy Pepperoni Pizza,Online
407,13,32.85230769230769,2025-12-06,Chicken Parmesan Pizza,Walk-in
408,4,30.06,2025-02-05,Cheesy Pepperoni Pizza,Walk-in
409,5,37.275999999999996,2025-06-14,BBQ Chicken Pizza,Phone
410,3,41.71,2025-08-22,Garlic Bread,Online
411,10,42.757999999999996,2025-10-27,Pasta Carbonara,Phone
412,5,62.876,2025-09-15,Cheesy Pepperoni Pizza,Walk-in
413,6,50.83833333333333,2025-12-08,Chicken Parmesan Pizza,Phone
414,12,38.1275,2025-07-06,Cheesy Garlic Bread,Online
415,7,43.62428571428571,2025-11-22,Caesar Salad,Online
416,3,36.93666666666667,2025-12-09,BBQ Chicken Pizza,Online
417,3,57.99333333333334,2025-10-11,Cheesy Pepperoni Pizza,Online
